fid;Tipologia d'espai;Carrer;Barri;Tipologia;Notes;Revisió;X;Y;GENERE
2245;Club/Bar;Plaça de Mossen Clapés;Sant Andreu;Bar;;No;432074,7121;4588133,106;MASC
2246;Laboral (oficines);Av. Meridiana;Sant Andreu;Oficina;;No;432041,157;4588102,2;MASC
2247;Laboral (oficines);C. de Bartrina;Sant Andreu;Assegurances;;No;432020,3175;4587918,177;MASC
2248;Club/Bar;C. de Bartrina;Sant Andreu;Bar;;No;432026,1455;4587931,775;MASC
2249;Laboral (oficines);C. de Bartrina;Sant Andreu;Immobiliaria;;No;432034,2694;4587947,14;MASC
2250;Club/Bar;C. de Bartrina;Sant Andreu;Bar;;No;432049,6341;4587913,055;MASC
2251;Club/Bar;C. de Bartrina;Sant Andreu;Bar;;No;432060,7602;4587935,131;MASC
2252;Comerç;Plaça de Miquel Casablancas i Joanico;Sant Andreu;Reformes;;No;432062,1731;4587881,266;MASC
2253;Laboral (oficines);C. de Bartrina;Sant Andreu;Assegurances;;No;432065,7052;4587942,725;MASC
2254;Comerç;Plaça de Mossen Clapés;Sant Andreu;Mecànic;;No;432105,6181;4588087,895;MASC
2255;Club/Bar;Plaça de Miquel Casablancas i Joanico;Sant Andreu;Bar;;No;432074,8887;4587809,917;MASC
2256;Comerç;Plaça de Miquel Casablancas i Joanico;Sant Andreu;Mecànic;;No;432081,4231;4587823,869;MASC
2257;Laboral (oficines);Plaça de Miquel Casablancas i Joanico;Sant Andreu;Oficina;;No;432089,1938;4587839,764;MASC
2258;Comerç;Plaça de Miquel Casablancas i Joanico;Sant Andreu;Mecànic;;No;432093,7855;4587847,711;MASC
2259;Comerç;Plaça de Miquel Casablancas i Joanico;Sant Andreu;Reformes;;No;432100,8497;4587866,431;MASC
2260;Club/Bar;C. de Guardiola i Feliu;Sant Andreu;Bar;;No;432242,5758;4587794,464;MASC
2261;Club/Bar;C. d'Agustí i Milà;Sant Andreu;Bar;;No;432080,9816;4587745,545;MASC
2262;Comerç;C. de Sant Hipòlit;Sant Andreu;Reformes;;No;432025,5274;4587678,435;MASC
2263;Club/Bar;C. d'Agustí i Milà;Sant Andreu;Restaurant;Búlgar;No;432149,5046;4587725,765;MASC
2264;Comerç;C. d'Agustí i Milà;Sant Andreu;Perruqueria;;No;432178,4679;4587711,636;MASC
2265;Comerç;C. d'Agustí i Milà;Sant Andreu;Reformes;;No;432192,4198;4587705,102;MASC
2266;Club/Bar;C. d'Agustí i Milà;Sant Andreu;Bar;;No;432222,9725;4587690,797;MASC
2267;Laboral (oficines);C. Gran de Sant Andreu;Sant Andreu;Immobiliaria;;No;432231,4496;4587702,983;MASC
2268;Comerç;C. Gran de Sant Andreu;Sant Andreu;Estanc;;No;432229,5069;4587716,935;MASC
2269;Club/Bar;C. Gran de Sant Andreu;Sant Andreu;Bar;;No;432250,9645;4587708,811;MASC
2270;Laboral (oficines);C. Gran de Sant Andreu;Sant Andreu;Immobiliaria;;No;432255,468;4587685,675;MASC
2271;Comerç;C. de Lanzarote;Sant Andreu;Perruqueria;;No;432323,991;4587722,409;MASC
2272;Club/Bar;C. de Guardiola i Feliu;Sant Andreu;Bar;;No;432305,4474;4587771,506;MASC
2273;Comerç;C. de Guardiola i Feliu;Sant Andreu;Restaurant;;No;432272,5987;4587777,157;MASC
2274;Club/Bar;C. de Lanzarote;Sant Andreu;Bar;Turc;No;432331,2318;4587763,382;MASC
2275;Comerç;C. de Joan Torras;Sant Andreu;Reformes;;No;432352,6011;4587672,96;MASC
2276;Club/Bar;C. de Joan Torras;Sant Andreu;Bar;;No;432382,2708;4587674,902;MASC
2277;Club/Bar;Passeig de Torres i Bages;Sant Andreu;Bar;;No;432404,5231;4587740,423;MASC
2278;Laboral (oficines);C. de Joan Torras;Sant Andreu;Banc;BBVA;No;432396,3993;4587652,12;MASC
2279;Club/Bar;C. de Joan Torras;Sant Andreu;Restaurant;;No;432383,6837;4587651,414;MASC
2280;Laboral (oficines);C. de Joan Torras;Sant Andreu;Informàtica;;No;432345,8901;4587651,061;MASC
2281;Comerç;C. de Joan Torras;Sant Andreu;Reformes;;No;432336,0001;4587650,531;MASC
2282;Club/Bar;C. de Joan Torras;Sant Andreu;Bar;;No;432291,6721;4587649,118;MASC
2283;Club/Bar;C. de Joan Torras;Sant Andreu;Bar;;No;432327,1699;4587650,531;MASC
2284;Laboral (oficines);Passeig de Torres i Bages;Sant Andreu;Immobiliaria;;No;432410,5277;4587611,678;MASC
2285;Club/Bar;Passeig de Torres i Bages;Sant Andreu;Bar;;No;432413,7066;4587547,923;MASC
2286;Club/Bar;Passeig de Torres i Bages;Sant Andreu;Bar;;No;432411,5874;4587590,662;MASC
2287;Club/Bar;Passeig de Torres i Bages;Sant Andreu;Bar;;No;432442,67;4587614,68;MASC
2288;Laboral (oficines);Passeig de Torres i Bages;Sant Andreu;Immobiliaria;;No;432444,7892;4587577,946;MASC
2289;Comerç;C. del Cinca;Sant Andreu;Reformes;;No;432510,3982;4587622,98;MASC
2290;Comerç;C. del Cinca;Sant Andreu;Reformes;;No;432525,6746;4587632,959;MASC
2291;Club/Bar;Plaça de la Estació;Sant Andreu;Bar;;No;432535,4762;4587466,949;MASC
2292;Club/Bar;Plaça de la Estació;Sant Andreu;Bar;;No;432569,0313;4587464,477;MASC
2293;Laboral (oficines);C. del Cinca;Sant Andreu;Oficina;;No;432505,4533;4587391,362;MASC
2294;Club/Bar;C. del Cinca;Sant Andreu;Restaurant;Japonés;No;432504,5702;4587383,591;MASC
2295;Club/Bar;C. del Cinca;Sant Andreu;Bar;;No;432511,8994;4587360,721;MASC
2296;Club/Bar;C. del Dr. Balari i Jovany;Sant Andreu;Bar;;No;432531,326;4587341,824;MASC
2297;Club/Bar;Passeig de Torres i Bages;Sant Andreu;Bar;;No;432460,4188;4587383,591;MASC
2298;Club/Bar;C. de Sant Adrià;Sant Andreu;Restaurant;;No;432548,8983;4587297,408;MASC
2299;Club/Bar;Passeig de Torres i Bages;Sant Andreu;Bar;;No;432512,1643;4587290,873;MASC
2300;Comerç;Passeig de Torres i Bages;Sant Andreu;Reformes;;No;432502,6276;4587323,016;MASC
2301;Comerç;C. de Sant Adrià;Sant Andreu;Reformes;;No;432534,0634;4587284,869;MASC
2302;Esport;C. del Dr. Balari i Jovany;Sant Andreu;Gimnàs;;No;432563,5565;4587330,61;MASC
2303;Laboral (oficines);C. de Sant Adrià;Sant Andreu;Informàtica;;No;432555,2561;4587262,793;MASC
2304;Comerç;C. de Sant Adrià;Sant Andreu;Ferreteria;;No;432576,8019;4587281,337;MASC
2305;Comerç;C. de Josep Soldevila;Sant Andreu;Assessoria;;No;432601,1735;4587245,309;MASC
2306;Laboral (oficines);C. del Dr. Balari i Jovany;Sant Andreu;Immobiliaria;;No;432412,7353;4587384,784;MASC
2307;Club/Bar;C. del Dr. Balari i Jovany;Sant Andreu;Bar;;No;432360,46;4587408,802;MASC
2308;Comerç;C. de l'Ajuntament;Sant Andreu;Estanc;;No;432353,5724;4587428,758;MASC
2309;Laboral (oficines);C. de l'Ajuntament;Sant Andreu;Co-working;;No;432347,3912;4587425,226;MASC
2310;Club/Bar;C. de l'Ajuntament;Sant Andreu;Restaurant;;No;432365,405;4587433,703;MASC
2311;Club/Bar;C. de l'Ajuntament;Sant Andreu;Restaurant;Xinés;No;432389,0701;4587444,829;MASC
2312;Club/Bar;Plaça d'Orfila;Sant Andreu;Bar;;No;432413,7949;4587449,598;MASC
2313;Club/Bar;Plaça d'Orfila;Sant Andreu;Bar;;No;432403,7284;4587453,66;MASC
2314;Club/Bar;Plaça d'Orfila;Sant Andreu;Restaurant;Japonés;No;432398,077;4587449,598;MASC
2315;Comerç;C. d'Otger;Sant Andreu;Perruqueria;;No;432352,3362;4587401,384;MASC
2316;Comerç;Plaça del Comerç;Sant Andreu;Ferreteria;;No;432329,9072;4587425,579;MASC
2317;Laboral (oficines);Plaça del Comerç;Sant Andreu;Immobiliaria;;No;432317,015;4587386,02;MASC
2318;Club/Bar;C. Gran de Sant Andreu;Sant Andreu;Bar;;No;432300,7673;4587359,882;MASC
2319;Comerç;C. Gran de Sant Andreu;Sant Andreu;Reformes;;No;432297,8533;4587322,442;MASC
2320;Club/Bar;C. Gran de Sant Andreu;Sant Andreu;Bar;;No;432286,109;4587323,678;MASC
2321;Comerç;C. Gran de Sant Andreu;Sant Andreu;Reformes;;No;432278,6033;4587308,755;MASC
2322;Club/Bar;Plaça del Mercadal;Sant Andreu;Bar;;No;432223,3257;4587328,093;MASC
2323;Club/Bar;Plaça del Mercadal;Sant Andreu;Bar;;No;432215,0253;4587350,875;MASC
2324;Club/Bar;C. Mateu Ferran;Sant Andreu;Bodega;;No;432235,5115;4587388,139;MASC
